,Country Name,Happiness Rank 2015,Happiness Score 2015,Happiness Rank 2016,Happiness Score 2016,GDP(billions) 2015,"GDP, 2016 (billions)",Total Population 2015,Total Population 2016,GDP/Pop 2015,GDP/Pop 2016,GDI 2015,GDI 2016,GDI/Pop 2015,GDI/Pop 2016,CPI 2015,CPI 2016
36,Paraguay,53,5.878,70,5.538,27.28,27.42,6639.12,6725.31,4.108978298,4.077135478,27179480392090.00,28327742014216.40,4093837796.59,4212109481.08,140.9,146.6583333
37,Kazakhstan,54,5.855,54,5.919,184,137,17544.13,17794.4,10.48783838,7.699051387,14242357936343.10,,811801892.50,,101.075,100.6666667
38,Slovenia,55,5.848,63,5.768,43.07,44.71,2063.53,2065.04,20.87200089,21.65091233,37173604836.05,38613271822.46,18014569.61,18698558.78,100.0008333,99.94583333
39,Lithuania,56,5.833,60,5.813,41.51,42.77,2904.91,2868.23,14.28959933,14.9116354,34322316552.21,35838265996.63,11815277.08,12494906.61,107.6249,108.5994667
40,Nicaragua,57,5.828,48,5.992,12.75,13.23,6082.04,6149.93,2.096336098,2.151243998,181368970299.55,190785285616.62,29820417.21,31022350.76,190.3386048,197.0445634
41,Belarus,59,5.813,61,5.802,56.45,47.41,9489.62,9501.53,5.948604897,4.989722708,2495319000.80,2360833409.08,262952.47,248468.76,107.3583333,107.2208333
42,Poland,60,5.791,57,5.835,477,471,37986.41,37970.09,12.5571224,12.40450049,1697000075221.99,1753701360853.08,44673873.50,46186389.36,122.85,122.0333333
43,Malaysia,61,5.77,47,6.005,296,297,30723.16,31187.26,9.634425625,9.523119376,1054869492819.49,1091157579883.11,34334667.81,34987285.83,112.8083333,115.1666667
44,Croatia,62,5.759,74,5.488,48.92,50.71,4203.6,4174.35,11.63764392,12.14799909,322782037831.36,334676520387.59,76787048.68,80174523.07,100,98.875
45,Cyprus,67,5.689,69,5.546,19.68,20.05,1160.98,1170.12,16.9511964,17.1349947,15628351428.67,16114852560.47,13461344.23,13771965.75,123.4108333,98.57083333
46,Algeria,68,5.605,38,6.355,166,159,39871.53,40606.05,4.163371709,3.915672665,6685396358528.34,6645633467691.55,167673434.12,163661165.46,172.6533333,183.6991667
47,Mauritius,71,5.477,66,5.648,11.69,12.17,1262.6,1263.47,9.25867258,9.632203376,305347277734.55,324957412978.93,241840074.24,257194403.49,108.25,109.3083333
48,Estonia,73,5.429,72,5.517,22.57,23.34,1315.41,1315.79,17.15814841,17.7383929,17990358450.07,18513837639.99,13676616.76,14070510.98,195.0433333,195.35
49,Indonesia,74,5.399,79,5.314,861,932,258162.11,261115.46,3.335113739,3.569302254,8876309316386750.00,9357896539497460.00,34382695882.01,35838155808.54,120.4216667,124.6675
50,Turkey,76,5.332,78,5.389,860,864,78271.47,79512.43,10.98740065,10.86622557,1506254725774.56,1567469248460.61,19243981.57,19713512.07,260.585,280.8458333
51,Nigeria,78,5.268,103,4.875,481,405,181181.74,185989.64,2.654792917,2.177540642,58577020870731.50,,323305322.44,,173.125,200.3011024
52,Bhutan,79,5.253,84,5.196,2.06,2.21,787.39,797.76,2.616238459,2.770256719,59299017324.70,64037424167.43,75310859.07,80271540.52,121.1019009,126.3215972
53,Jordan,82,5.192,80,5.303,37.52,38.65,9159.3,9455.8,4.096382911,4.087438398,,,,,116.4010667,115.4947917
54,Montenegro,82,5.192,88,5.161,4.05,4.37,622.16,622.3,6.509579529,7.022336494,1731642362.11,1788216317.24,2783274.98,2873559.89,100.1184311,100.0746506
55,Zambia,85,5.129,106,4.795,21.15,21.06,16100.59,16591.39,1.313616458,1.26933307,,,,,155.8175,183.662025
56,Portugal,88,5.102,94,5.123,199,205,10358.08,10325.45,19.21205474,19.85385625,175484026311.35,179337887758.82,16941752.36,17368529.97,100.4834167,101.09375
57,Latvia,89,5.098,68,5.56,26.97,27.57,1977.53,1959.54,13.63822546,14.06962859,21345928175.01,22203716316.97,10794237.34,11331086.03,107.544875,107.6961
58,Philippines,90,5.073,82,5.279,293,305,101716.36,103320.22,2.880559234,2.95198752,7203729885141.63,7611189355478.17,70821742.79,73666019.64,141.5083333,144.0333333
59,Morocco,92,5.013,90,5.151,101,104,34803.32,35276.79,2.902021991,2.948114043,915496983038.04,938301731110.54,26304875.02,26598274.14,115.1666667,117.05
60,Bosnia and Herzegovina,96,4.949,87,5.163,16.21,16.91,3535.96,3516.82,4.584327877,4.808321154,27104002178.17,28125950828.76,7665245.70,7997552.00,103.6805833,102.5513667
61,Dominican Republic,98,4.885,89,5.155,68.1,71.58,10528.39,10648.79,6.468225436,6.721890468,2118891492868.80,2268466916184.06,201255034.52,213025791.30,119.2275,121.1291667
62,Mongolia,100,4.874,101,4.907,11.75,11.18,2976.88,3027.4,3.947085539,3.692937834,15686437944057.70,16628517767344.80,5269422329.44,5492672843.81,100.0916667,100.0416667
63,Greece,102,4.857,99,5.033,196,193,10820.88,10770.52,18.11312943,17.91928338,188462754616.30,187701843061.35,17416583.00,17427370.55,105.520675,104.6494417
64,Hungary,104,4.8,91,5.145,123,126,9843.03,9814.02,12.4961521,12.83877555,29945342809478.80,30943147973043.30,3042289092.84,3152953425.10,135.1,135.6333333
65,Honduras,105,4.788,104,4.871,20.84,21.52,8960.83,9112.87,2.325677421,2.361495336,175615314304.34,181476287482.89,19598108.02,19914284.69,284.75,292.5083333
66,Tunisia,107,4.739,98,5.045,43.16,42.06,11273.66,11403.25,3.828392909,3.68842216,,,,,126.65,131.35
67,Ukraine,111,4.681,123,4.324,91.03,93.27,45154.03,45004.64,2.015988385,2.072452974,1018555358119.25,1044784653989.38,22557352.20,23215043.03,173.9416667,198.1416667
68,South Africa,113,4.642,116,4.459,318,295,55291.22,56015.47,5.751365226,5.266402299,3084192548466.05,3095781070564.43,55780873.50,55266537.45,91.74166667,97.79166667
69,Ghana,114,4.633,124,4.276,37.54,42.69,27582.82,28206.73,1.360992096,1.513468594,34901584651.10,36080465016.49,1265337.80,1279143.84,151.0185333,177.3782667
70,Zimbabwe,115,4.61,131,4.193,16.3,16.62,15777.45,16150.36,1.033120054,1.029079228,14095705871.57,14182495050.24,893408.37,878153.49,97.97676849,96.4537223
71,Liberia,116,4.571,150,3.622,2.03,2.1,4499.62,4613.82,0.451149208,0.455154297,709015614.62,697725541.22,157572.33,151225.13,235.5907299,256.4034009
72,India,117,4.565,118,4.404,2090,2260,1309053.98,1324171.35,1.596572817,1.706727758,112522770605889.00,120910256765245.00,85957319.04,91310128.98,123.1083333,129.2
