,Country Name,Happiness Rank 2015,Happiness Rank 2016,Happiness Score 2015,Happiness Score 2016,GDP 2015,GDP 2016,Population 2015,Population 2016,GDI 2015,GDI 2016,GDP Per capita 2015,GDP per capita 2016,CPI 2015,CPI 2016
70,Zimbabwe,115,131,4.61,4.1930000000000005,16304667807.0,16619960402.0,15777451.0,16150362.0,1033.415841823879,1029.0766486844072,1033.415841823879,1029.0766486844072,97.97676849,96.4537223
71,Liberia,116,150,4.571000000000001,3.622,2034000000.0,2101000000.0,4499621.0,4613823.0,452.0380716509235,455.3707413570048,452.0380716509235,455.3707413570048,235.5907299,256.4034009
72,India,117,118,4.565,4.404,2090000000000.0,2260000000000.0,1309053980.0,1324171354.0,1596.5728166534432,1706.7277533025383,1596.5728166534432,1706.7277533025383,123.10833329999998,129.2
73,Nepal,121,107,4.513999999999999,4.793,21410840909.0,21131983246.0,28656282.0,28982771.0,747.1604623726134,729.122251492102,747.1604623726134,729.122251492102,103.69333329999999,112.80833329999999
74,Ethiopia,122,115,4.512,4.508,64464547915.0,72374224249.0,99873033.0,102403196.0,645.4650067050633,706.757475118257,645.4650067050633,706.757475118257,142.7956695,153.1679636
75,Sierra Leone,123,111,4.507,4.635,4251869870.0,3736588554.0,7237025.0,7396190.0,587.516261170854,505.2045112415987,587.516261170854,505.2045112415987,154.48,171.2925
76,Mauritania,124,130,4.436,4.2010000000000005,4844223107.0,4739298730.0,4182341.0,4301018.0,1158.2563705350663,1101.9016265451573,1158.2563705350663,1101.9016265451573,100.95831190000001,102.4441259
77,Kenya,125,122,4.419,4.356,63767539357.0,70529014778.0,47236259.0,48461567.0,1349.9701438464888,1455.3597653579795,1349.9701438464888,1455.3597653579795,159.59890719999999,169.6497132
78,Georgia,130,126,4.297,4.252,13993546732.0,14378016729.0,3717100.0,3719300.0,3764.6409114632374,3865.7856932756163,3764.6409114632374,3865.7856932756163,114.664725,117.11273329999999
79,Malawi,131,132,4.292,4.156000000000001,6373201160.0,5433038647.0,17573607.0,18091575.0,362.65754435045693,300.30766514247654,362.65754435045693,300.30766514247654,192.02231730000003,233.7125
80,Sri Lanka,132,117,4.271,4.415,80611989527.0,81321876307.0,20966000.0,21203000.0,3844.8912299437184,3835.3948171013535,3844.8912299437184,3835.3948171013535,109.45833329999999,113.79166670000001
81,Bulgaria,134,129,4.218,4.217,50199117547.0,53237882473.0,7177991.0,7127822.0,6993.477359751496,7469.025246842584,6993.477359751496,7469.025246842584,6550.406614,6498.085301
82,Senegal,142,128,3.904,4.218999999999999,13640668374.0,14683697631.0,14976994.0,15411614.0,910.7747772350045,952.7683233566581,910.7747772350045,952.7683233566581,103.50916670000001,104.3758333
83,Gabon,143,134,3.8960000000000004,4.121,14262032471.0,14213558130.0,1930175.0,1979786.0,7388.984144442861,7179.340661061347,7388.984144442861,7179.340661061347,127.3769768,130.0604367
84,Tanzania,146,149,3.781,3.6660000000000004,45628320606.0,47340071107.0,53879957.0,55572201.0,846.851466603806,851.8660455251718,846.851466603806,851.8660455251718,152.71911599999999,102.94754809999999
85,Rwanda,154,152,3.465,3.515,8261034258.0,8376048905.0,11629553.0,11917508.0,710.3483906905107,702.8356016207415,710.3483906905107,702.8356016207415,103.127253,109.02970400000001
86,Benin,155,153,3.34,3.484,8290986804.0,8583031398.0,10575952.0,10872298.0,783.947090909641,789.4404106657121,783.947090909641,789.4404106657121,112.67,111.7141667
