,Country Name,Happiness Rank_x,Happiness Score_x,Happiness Rank_y,Happiness Score_y,GDP(billions) 2015,"GDP, 2016 (billions)",Total Population 2015,Total Population 2016,GDP/Pop 2015,GDP/Pop 2016,Unnamed: 0,GDI 2015,GDI 2016,GDI/Pop 2015,GDI/Pop 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016
64,Estonia,73,5.428999999999999,72,5.517,22.57,23.34,1315.41,1315.79,17.158148410001445,17.73839290464284,69,17990358450.0709,18513837639.9911,13676616.758326985,14070510.978188846,128.2323093,136.702126,128.2323093,136.702126,128.2323093,136.702126,128.2323093,136.702126,128.2323093,136.702126
65,Indonesia,74,5.399,79,5.314,861.0,932.0,258162.11,261115.46,3.335113739192789,3.5693022542594757,104,8876309316386750.0,9357896539497460.0,34382695882.00511,35838155808.53566,100.0,100.3166667,100.0,100.3166667,100.0,100.3166667,100.0,100.3166667,100.0,100.3166667
66,Vietnam,75,5.36,96,5.061,193.0,205.0,93571.57,94569.07,2.0625923023414057,2.1677277782260096,255,3038876171254130.0,3352351117999830.0,32476490148.17353,35448705565.14757,99.99916667,100.9708333,99.99916667,100.9708333,99.99916667,100.9708333,99.99916667,100.9708333,99.99916667,100.9708333
67,Turkey,76,5.332000000000001,78,5.388999999999999,860.0,864.0,78271.47,79512.43,10.987400645471459,10.866225570014652,242,1506254725774.56,1567469248460.61,19243981.565371905,19713512.069252696,100.4834167,101.09375,100.4834167,101.09375,100.4834167,101.09375,100.4834167,101.09375,100.4834167,101.09375
68,Nigeria,78,5.268,103,4.875,481.0,405.0,181181.74,185989.64,2.6547929167696482,2.177540641511,172,58577020870731.5,,323305322.4388479,,190.3386048,197.04456340000002,190.3386048,197.04456340000002,190.3386048,197.04456340000002,190.3386048,197.04456340000002,190.3386048,197.04456340000002
69,Bhutan,79,5.252999999999999,84,5.196000000000001,2.06,2.21,787.39,797.76,2.616238458705343,2.7702567188126754,30,59299017324.6967,64037424167.4324,75310859.07199317,80271540.52275422,98.5306533,98.30030959999999,98.5306533,98.30030959999999,98.5306533,98.30030959999999,98.5306533,98.30030959999999,98.5306533,98.30030959999999
70,Azerbaijan,80,5.212000000000001,81,5.291,53.07,37.85,9649.34,9757.81,5.499858021377627,3.878944148328365,13,,,,,105.01666670000002,108.03333329999998,105.01666670000002,108.03333329999998,105.01666670000002,108.03333329999998,105.01666670000002,108.03333329999998,105.01666670000002,108.03333329999998
71,Pakistan,81,5.194,92,5.132000000000001,271.0,279.0,189380.51,193203.48,1.4309814668890688,1.4440733676225708,182,10946599115038.4,11598940692452.2,57802141.91543998,60034843.53621476,101.0682583,100.1982458,101.0682583,100.1982458,101.0682583,100.1982458,101.0682583,100.1982458,101.0682583,100.1982458
72,Jordan,82,5.192,80,5.303,37.52,38.65,9159.3,9455.8,4.096382911357855,4.087438397597242,116,,,,,103.127253,109.02970400000001,103.127253,109.02970400000001,103.127253,109.02970400000001,103.127253,109.02970400000001,103.127253,109.02970400000001
73,Montenegro,82,5.192,88,5.1610000000000005,4.05,4.37,622.16,622.3,6.50957952938151,7.022336493652579,160,1731642362.11041,1788216317.24167,2783274.9808898196,2873559.8862954685,159.59890719999999,169.6497132,159.59890719999999,169.6497132,159.59890719999999,169.6497132,159.59890719999999,169.6497132,159.59890719999999,169.6497132
74,China,84,5.14,83,5.245,11100.0,11200.0,1371220.0,1378665.0,8.094981111710739,8.123800923357017,38,,,,,101.075,100.66666670000001,101.075,100.66666670000001,101.075,100.66666670000001,101.075,100.66666670000001,101.075,100.66666670000001
75,Zambia,85,5.129,106,4.795,21.15,21.06,16100.59,16591.39,1.3136164575335436,1.2693330697428005,262,,,,,103.69333329999999,112.80833329999999,103.69333329999999,112.80833329999999,103.69333329999999,112.80833329999999,103.69333329999999,112.80833329999999,103.69333329999999,112.80833329999999
76,Romania,86,5.124,71,5.528,178.0,188.0,19815.48,19699.31,8.982876014106145,9.543481472193696,199,434865322401.682,458608328558.521,21945737.494205642,23280425.992510445,173.125,200.3011024,173.125,200.3011024,173.125,200.3011024,173.125,200.3011024,173.125,200.3011024
77,Serbia,87,5.122999999999999,86,5.1770000000000005,37.16,38.3,7095.38,7058.32,5.2372106920277695,5.426220403722132,212,3225082047328.68,3367498691537.57,454532674.40625876,477096347.5072779,115.16666670000001,117.05,115.16666670000001,117.05,115.16666670000001,117.05,115.16666670000001,117.05,115.16666670000001,117.05
78,Portugal,88,5.102,94,5.122999999999999,199.0,205.0,10358.08,10325.45,19.212054743736292,19.853856248395953,192,175484026311.352,179337887758.823,16941752.36253746,17368529.968071416,112.80833329999999,115.16666670000001,112.80833329999999,115.16666670000001,112.80833329999999,115.16666670000001,112.80833329999999,115.16666670000001,112.80833329999999,115.16666670000001
79,Latvia,89,5.098,68,5.56,26.97,27.57,1977.53,1959.54,13.638225463077678,14.069628586300865,143,21345928175.0123,22203716316.9724,10794237.34406674,11331086.028849833,100.0916667,100.04166670000001,100.0916667,100.04166670000001,100.0916667,100.04166670000001,100.0916667,100.04166670000001,100.0916667,100.04166670000001
80,Philippines,90,5.073,82,5.279,293.0,305.0,101716.36,103320.22,2.880559233539226,2.9519875199646304,185,7203729885141.63,7611189355478.17,70821742.78691874,73666019.63757114,116.40106670000002,115.49479170000001,116.40106670000002,115.49479170000001,116.40106670000002,115.49479170000001,116.40106670000002,115.49479170000001,116.40106670000002,115.49479170000001
81,Morocco,92,5.013,90,5.151,101.0,104.0,34803.32,35276.79,2.902021991005456,2.9481140432562034,146,915496983038.042,938301731110.54,26304875.02451036,26598274.13748643,109.6991667,109.43666670000002,109.6991667,109.43666670000002,109.6991667,109.43666670000002,109.6991667,109.43666670000002,109.6991667,109.43666670000002
82,Albania,95,4.959,109,4.655,11.34,11.86,2880.7,2876.1,3.9365432013052386,4.123639650916171,3,647431583777.0021,654861245230.657,224748007.0042011,227690707.98326102,141.5083333,144.0333333,141.5083333,144.0333333,141.5083333,144.0333333,141.5083333,144.0333333,141.5083333,144.0333333
83,Bosnia and Herzegovina,96,4.949,87,5.162999999999999,16.21,16.91,3535.96,3516.82,4.584327877012184,4.808321153769598,22,27104002178.1684,28125950828.7602,7665245.69796276,7997552.001171569,100.1184311,100.0746506,100.1184311,100.0746506,100.1184311,100.0746506,100.1184311,100.0746506,100.1184311,100.0746506
84,Dominican Republic,98,4.885,89,5.155,68.1,71.58,10528.39,10648.79,6.468225436177801,6.721890468306727,57,2118891492868.8,2268466916184.06,201255034.51798424,213025791.30436978,107.73333329999998,108.35166670000001,107.73333329999998,108.35166670000001,107.73333329999998,108.35166670000001,107.73333329999998,108.35166670000001,107.73333329999998,108.35166670000001
